,QUANTITYUNIT,CURRENCY,QUANTITY,BUYING_TAXAMOUNT,SALESORDERID,BUYING_GROSSAMOUNT,PRODUCTID,SALESORDERITEM,BUYING_NETAMOUNT,PARTNERID,SALES_TAXAMOUNT,SALES_NETAMOUNT,SALES_GROSSAMOUNT,DATE,DELIVERYSTATUS,EMPLOYEESID,SALESORG,SUPPLIER_PARTNERID,PRICE,PRODCATEGORYID,PRODUCTNAME,CATEGORYNAME,ADDRESSID,PARTNERNAME,REGION,CITY,LATITUDE,LONGITUDE,COUNTRY,NAME,LASTNAME,SEX,AGE,MARRIED,CHILDREN
0,EA,USD,4,312.375,500000000,2499,MB-1034,10,2186.625,100000022,1698.375,11888.625,13587,2018-11-01,C,4,APJ,100000015,2499,MB,Mt Discovery Ulti,Mountain Bike,1000000056,Tires On Fire,APJ,Mumbai,19.046575,72.864262,IN,William,Mussen,M,28,Y,Y
1,EA,USD,9,49.875,500000000,399,CB-1161,20,349.125,100000022,1698.375,11888.625,13587,2018-11-01,C,4,APJ,100000033,399,CB,La Plage,Cruiser,1000000056,Tires On Fire,APJ,Mumbai,19.046575,72.864262,IN,William,Mussen,M,28,Y,Y
2,EA,USD,2,112.375,500000001,899,HB-1175,10,786.625,100000026,1577.75,11044.25,12622,2018-12-01,C,2,EMEA,100000040,899,HB,Specifica,Hybrid Bike,1000000060,Antonio Bandolera,EMEA,Dubai,25.013792000000002,55.131876,DU,Phillip,Egger,M,23,N,N
3,EA,USD,2,312.375,500000001,2499,RC-1056,20,2186.625,100000026,1577.75,11044.25,12622,2018-12-01,C,2,EMEA,100000021,2499,RC,Veloflash SE ,Racing Bike,1000000060,Antonio Bandolera,EMEA,Dubai,25.013792000000002,55.131876,DU,Phillip,Egger,M,23,N,N
4,EA,USD,2,312.375,500000001,2499,RC-1056,20,2186.625,100000026,1577.75,11044.25,12622,2018-12-01,C,2,EMEA,100000021,2499,RC,Rennsemmel 2,Racing Bike,1000000060,Antonio Bandolera,EMEA,Dubai,25.013792000000002,55.131876,DU,Phillip,Egger,M,23,N,N
5,EA,USD,3,143.0,500000001,1144,CC-1021,30,1001.0,100000026,1577.75,11044.25,12622,2018-12-01,C,2,EMEA,100000009,1144,CC,Cyclone Basic,Cyclo-cross Bike,1000000060,Antonio Bandolera,EMEA,Dubai,25.013792000000002,55.131876,DU,Phillip,Egger,M,23,N,N
6,EA,USD,6,49.875,500000001,399,CB-1161,40,349.125,100000026,1577.75,11044.25,12622,2018-12-01,C,2,EMEA,100000033,399,CB,La Plage,Cruiser,1000000060,Antonio Bandolera,EMEA,Dubai,25.013792000000002,55.131876,DU,Phillip,Egger,M,23,N,N
7,EA,USD,6,112.375,500000002,899,HB-1175,10,786.625,100000018,5706.875,39948.125,45655,2018-01-15,C,5,APJ,100000040,899,HB,Specifica,Hybrid Bike,1000000052,TechCycle Canberra,APJ,Canberra,-35.279663,149.126715,AU,Javas,Hedge,M,32,N,Y
8,EA,USD,3,249.875,500000002,1999,RC-1055,20,1749.125,100000018,5706.875,39948.125,45655,2018-01-15,C,5,APJ,100000020,1999,RC,Veloflash,Racing Bike,1000000052,TechCycle Canberra,APJ,Canberra,-35.279663,149.126715,AU,Javas,Hedge,M,32,N,Y
9,EA,USD,3,249.875,500000002,1999,RC-1055,20,1749.125,100000018,5706.875,39948.125,45655,2018-01-15,C,5,APJ,100000020,1999,RC,Rennsemmel,Racing Bike,1000000052,TechCycle Canberra,APJ,Canberra,-35.279663,149.126715,AU,Javas,Hedge,M,32,N,Y
10,EA,USD,3,187.375,500000002,1499,DB-1081,30,1311.625,100000018,5706.875,39948.125,45655,2018-01-15,C,5,APJ,100000023,1499,DB,Rooty Basic,Downhill Bike,1000000052,TechCycle Canberra,APJ,Canberra,-35.279663,149.126715,AU,Javas,Hedge,M,32,N,Y
11,EA,USD,10,281.25,500000002,2250,EB-1133,40,1968.75,100000018,5706.875,39948.125,45655,2018-01-15,C,5,APJ,100000028,2250,EB,Lazy Cat,eBike,1000000052,TechCycle Canberra,APJ,Canberra,-35.279663,149.126715,AU,Javas,Hedge,M,32,N,Y
12,EA,USD,9,37.375,500000002,299,BX-1015,50,261.625,100000018,5706.875,39948.125,45655,2018-01-15,C,5,APJ,100000007,299,BX,BMX Optima,BMX,1000000052,TechCycle Canberra,APJ,Canberra,-35.279663,149.126715,AU,Javas,Hedge,M,32,N,Y
13,EA,USD,4,143.0,500000002,1144,CC-1021,60,1001.0,100000018,5706.875,39948.125,45655,2018-01-15,C,5,APJ,100000009,1144,CC,Cyclone Basic,Cyclo-cross Bike,1000000052,TechCycle Canberra,APJ,Canberra,-35.279663,149.126715,AU,Javas,Hedge,M,32,N,Y
14,EA,USD,3,312.375,500000003,2499,RC-1056,10,2186.625,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000021,2499,RC,Veloflash SE ,Racing Bike,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
15,EA,USD,3,312.375,500000003,2499,RC-1056,10,2186.625,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000021,2499,RC,Rennsemmel 2,Racing Bike,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
16,EA,USD,2,56.125,500000003,449,BX-1013,20,392.875,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000005,449,BX,BMX Jump Lux I,BMX,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
17,EA,USD,5,312.375,500000003,2499,RC-1056,30,2186.625,100000009,12723.25,89062.75,101786,2018-01-15,C,3,EMEA,100000021,2499,RC,Veloflash SE ,Racing Bike,1000000043,Meine Bicycle,EMEA,Augsburg,48.370625,10.893961000000001,DE,Ellis,Robertson,M,27,N,N
